#Data tag : 19v3 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
| 324206:7264 | 10/07/18 11:38:14 | 133  | 133  | 0.018046575    | 0.017522834   |
| 324207:7264 | 10/07/18 12:44:24 | 33   | 33   | 0.004195281    | 0.004054579   |
| 324209:7264 | 10/07/18 13:02:20 | 142  | 142  | 0.016389579    | 0.016078704   |
| 324237:7265 | 10/07/18 21:30:21 | 154  | 154  | 0.061402411    | 0.058994669   |
| 324245:7266 | 10/08/18 01:31:07 | 1658 | 1658 | 0.433432765    | 0.416845115   |
| 324293:7270 | 10/08/18 23:08:14 | 2243 | 2243 | 0.508829687    | 0.491726858   |
| 324315:7271 | 10/09/18 16:26:19 | 186  | 186  | 0.069420277    | 0.066219169   |
| 324318:7271 | 10/09/18 17:53:42 | 323  | 323  | 0.101806879    | 0.097555108   |
| 324420:7274 | 10/11/18 00:24:57 | 565  | 565  | 0.190864647    | 0.181683168   |
| 324729:7308 | 10/16/18 09:28:04 | 142  | 142  | 0.011263608    | 0.010896104   |
| 324747:7309 | 10/16/18 12:56:26 | 1068 | 1068 | 0.321336558    | 0.306980892   |
| 324764:7309 | 10/16/18 19:54:47 | 142  | 142  | 0.030952899    | 0.029853018   |
| 324765:7309 | 10/16/18 20:52:50 | 459  | 459  | 0.087016724    | 0.084317216   |
| 324769:7309 | 10/16/18 23:59:45 | 328  | 328  | 0.047990107    | 0.046770044   |
| 324772:7309 | 10/17/18 02:48:00 | 165  | 165  | 0.019188224    | 0.018782623   |
| 324785:7310 | 10/17/18 06:16:27 | 578  | 578  | 0.191960655    | 0.184528742   |
| 324791:7310 | 10/17/18 10:04:47 | 1195 | 1195 | 0.248451415    | 0.240661240   |
| 324835:7314 | 10/17/18 22:30:14 | 248  | 248  | 0.092634514    | 0.083724814   |
| 324840:7314 | 10/18/18 00:41:14 | 90   | 90   | 0.030287132    | 0.027721689   |
| 324841:7314 | 10/18/18 01:18:35 | 1337 | 1337 | 0.310105275    | 0.299206673   |
| 324846:7314 | 10/18/18 10:06:07 | 514  | 514  | 0.070519140    | 0.068423629   |
| 324878:7315 | 10/18/18 16:07:07 | 1708 | 1708 | 0.410425730    | 0.395709729   |
